0,1,2,3
상추,2078.9,2214.045677452632,0.06500826276041745
멜론,7736.0,8225.997234008977,0.06333986995979539
감자,299.3,318.05271983714965,0.06265526173454608
토마토,4421.0,4667.515206432945,0.05576005574144876
피망,1022.9,1075.3405680605533,0.05126656375066316
시금치,1521.1,1485.2513599120211,-0.02356757615408505
깻잎,2570.0,2507.973101493112,-0.02413497996376959
배,8622.5,6927.670622212781,-0.1965589304479233
복숭아,1968.9,1453.2801731178877,-0.2618821813612232
참외,1356.0,932.1716167996086,-0.3125578047200526
